,AEC,APOD+ MSC,Adipo-MSC,Ba/Eo/Ma,CD4+ T-Cell,CD8+ T-Cell,CLP,Cycling DCs,Cycling HSPC,Early Myeloid Progenitor,Erythroblast,Fibro-MSC,GMP,HSC,Late Erythroid,Late Myeloid,MEP,MPP,Macrophages,Mature B,Megakaryocyte,Monocyte,Neutrophil,Osteo-MSC,Osteoblast,Plasma Cell,Pre-B,Pre-Pro B,Pro-B,RBC,RNAlo MSC,SEC,THY1+ MSC,VSMC,pDC
0,0.002527431882628529,0.0024656352092707885,0.0021567660833127925,0.0020950150964323126,0.0021567660833127925,0.0023420647149460707,0.0019098077870872351,0.0017863742762104227,0.002527431882628529,0.0021567660833127925,0.0020950150964323126,0.0022185246810870773,0.0024656352092707885,0.0018480872297172426,0.002403846153846154,0.0023420647149460707,0.0017863742762104227,0.0026510480887792847,0.002898371978293044,0.0019098077870872351,0.0020950150964323126,0.002403846153846154,0.0024656352092707885,0.002403846153846154,0.0022802908911623322,0.000984797193327999,0.0019098077870872351,0.0016012810248198558,0.000984797193327999,0.0022802908911623322,0.002836529567737559,0.002403846153846154,0.0022185246810870773,0.0023420647149460707,0.0022802908911623322
1,0.002527431882628529,0.0024656352092707885,0.0021567660833127925,0.0020950150964323126,0.0021567660833127925,0.0023420647149460707,0.0019098077870872351,0.0017863742762104227,0.002527431882628529,0.0021567660833127925,0.0020950150964323126,0.0022185246810870773,0.0024656352092707885,0.0018480872297172426,0.002403846153846154,0.0023420647149460707,0.0017863742762104227,0.0026510480887792847,0.002898371978293044,0.0019098077870872351,0.0020950150964323126,0.002403846153846154,0.0024656352092707885,0.002403846153846154,0.0022802908911623322,0.000984797193327999,0.0019098077870872351,0.0016012810248198558,0.000984797193327999,0.0022802908911623322,0.002836529567737559,0.002403846153846154,0.0022185246810870773,0.0023420647149460707,0.0022802908911623322
10,0.002527431882628529,0.0024656352092707885,0.0021567660833127925,0.0020950150964323126,0.0021567660833127925,0.0023420647149460707,0.0019098077870872351,0.0017863742762104227,0.002527431882628529,0.0021567660833127925,0.0020950150964323126,0.0022185246810870773,0.0024656352092707885,0.0018480872297172426,0.002403846153846154,0.0023420647149460707,0.0017863742762104227,0.0026510480887792847,0.002898371978293044,0.0019098077870872351,0.0020950150964323126,0.002403846153846154,0.0024656352092707885,0.002403846153846154,0.0022802908911623322,0.000984797193327999,0.0019098077870872351,0.0016012810248198558,0.000984797193327999,0.0022802908911623322,0.002836529567737559,0.002403846153846154,0.0022185246810870773,0.0023420647149460707,0.0022802908911623322
11,0.002527431882628529,0.0024656352092707885,0.0021567660833127925,0.0020950150964323126,0.0021567660833127925,0.0023420647149460707,0.0019098077870872351,0.0017863742762104227,0.002527431882628529,0.0021567660833127925,0.0020950150964323126,0.0022185246810870773,0.0024656352092707885,0.0018480872297172426,0.002403846153846154,0.0023420647149460707,0.0017863742762104227,0.0026510480887792847,0.002898371978293044,0.0019098077870872351,0.0020950150964323126,0.002403846153846154,0.0024656352092707885,0.002403846153846154,0.0022802908911623322,0.000984797193327999,0.0019098077870872351,0.0016012810248198558,0.000984797193327999,0.0022802908911623322,0.002836529567737559,0.002403846153846154,0.0022185246810870773,0.0023420647149460707,0.0022802908911623322
12,0.002527431882628529,0.0024656352092707885,0.0021567660833127925,0.0020950150964323126,0.0021567660833127925,0.0023420647149460707,0.0019098077870872351,0.0017863742762104227,0.002527431882628529,0.0021567660833127925,0.0020950150964323126,0.0022185246810870773,0.0024656352092707885,0.0018480872297172426,0.002403846153846154,0.0023420647149460707,0.0017863742762104227,0.0026510480887792847,0.002898371978293044,0.0019098077870872351,0.0020950150964323126,0.002403846153846154,0.0024656352092707885,0.002403846153846154,0.0022802908911623322,0.000984797193327999,0.0019098077870872351,0.0016012810248198558,0.000984797193327999,0.0022802908911623322,0.002836529567737559,0.002403846153846154,0.0022185246810870773,0.0023420647149460707,0.0022802908911623322
13,0.002527431882628529,0.0024656352092707885,0.0021567660833127925,0.0020950150964323126,0.0021567660833127925,0.0023420647149460707,0.0019098077870872351,0.0017863742762104227,0.002527431882628529,0.0021567660833127925,0.0020950150964323126,0.0022185246810870773,0.0024656352092707885,0.0018480872297172426,0.002403846153846154,0.0023420647149460707,0.0017863742762104227,0.0026510480887792847,0.002898371978293044,0.0019098077870872351,0.0020950150964323126,0.002403846153846154,0.0024656352092707885,0.002403846153846154,0.0022802908911623322,0.000984797193327999,0.0019098077870872351,0.0016012810248198558,0.000984797193327999,0.0022802908911623322,0.002836529567737559,0.002403846153846154,0.0022185246810870773,0.0023420647149460707,0.0022802908911623322
14,0.002527431882628529,0.0024656352092707885,0.0021567660833127925,0.0020950150964323126,0.0021567660833127925,0.0023420647149460707,0.0019098077870872351,0.0017863742762104227,0.002527431882628529,0.0021567660833127925,0.0020950150964323126,0.0022185246810870773,0.0024656352092707885,0.0018480872297172426,0.002403846153846154,0.0023420647149460707,0.0017863742762104227,0.0026510480887792847,0.002898371978293044,0.0019098077870872351,0.0020950150964323126,0.002403846153846154,0.0024656352092707885,0.002403846153846154,0.0022802908911623322,0.000984797193327999,0.0019098077870872351,0.0016012810248198558,0.000984797193327999,0.0022802908911623322,0.002836529567737559,0.002403846153846154,0.0022185246810870773,0.0023420647149460707,0.0022802908911623322
2,0.002527431882628529,0.0024656352092707885,0.0021567660833127925,0.0020950150964323126,0.0021567660833127925,0.0023420647149460707,0.0019098077870872351,0.0017863742762104227,0.002527431882628529,0.0021567660833127925,0.0020950150964323126,0.0022185246810870773,0.0024656352092707885,0.0018480872297172426,0.002403846153846154,0.0023420647149460707,0.0017863742762104227,0.0026510480887792847,0.002898371978293044,0.0019098077870872351,0.0020950150964323126,0.002403846153846154,0.0024656352092707885,0.002403846153846154,0.0022802908911623322,0.000984797193327999,0.0019098077870872351,0.0016012810248198558,0.000984797193327999,0.0022802908911623322,0.002836529567737559,0.002403846153846154,0.0022185246810870773,0.0023420647149460707,0.0022802908911623322
3,0.002527431882628529,0.0024656352092707885,0.0021567660833127925,0.0020950150964323126,0.0021567660833127925,0.0023420647149460707,0.0019098077870872351,0.0017863742762104227,0.002527431882628529,0.0021567660833127925,0.0020950150964323126,0.0022185246810870773,0.0024656352092707885,0.0018480872297172426,0.002403846153846154,0.0023420647149460707,0.0017863742762104227,0.0026510480887792847,0.002898371978293044,0.0019098077870872351,0.0020950150964323126,0.002403846153846154,0.0024656352092707885,0.002403846153846154,0.0022802908911623322,0.000984797193327999,0.0019098077870872351,0.0016012810248198558,0.000984797193327999,0.0022802908911623322,0.002836529567737559,0.002403846153846154,0.0022185246810870773,0.0023420647149460707,0.0022802908911623322
4,0.002527431882628529,0.0024656352092707885,0.0021567660833127925,0.0020950150964323126,0.0021567660833127925,0.0023420647149460707,0.0019098077870872351,0.0017863742762104227,0.002527431882628529,0.0021567660833127925,0.0020950150964323126,0.0022185246810870773,0.0024656352092707885,0.0018480872297172426,0.002403846153846154,0.0023420647149460707,0.0017863742762104227,0.0026510480887792847,0.002898371978293044,0.0019098077870872351,0.0020950150964323126,0.002403846153846154,0.0024656352092707885,0.002403846153846154,0.0022802908911623322,0.000984797193327999,0.0019098077870872351,0.0016012810248198558,0.000984797193327999,0.0022802908911623322,0.002836529567737559,0.002403846153846154,0.0022185246810870773,0.0023420647149460707,0.0022802908911623322
